,Datetime,Temp_℃,Humidity,Windspeed,General_Diffuse_Flows,Diffuse_Flows,Power_Consumption_kWh_Zone1,Power_Consumption_kWh_Zone2,Power_Consumption_kWh_Zone3,Year,Month,Day,Hour
0,2017-01-01 00:00:00,6.197,75.067,0.082,0.064,0.099,29197.975,18026.748,19252.048,2017,January,Sunday,0
1,2017-01-01 01:00:00,5.549,77.583,0.082,0.057,0.112,24657.215,16078.419,17042.892,2017,January,Sunday,1
2,2017-01-01 02:00:00,5.054,78.933,0.082,0.063,0.129,22083.038,14330.699,15676.145,2017,January,Sunday,2
3,2017-01-01 03:00:00,5.004,77.083,0.083,0.06,0.141,20811.139,13219.453,14883.855,2017,January,Sunday,3
4,2017-01-01 04:00:00,5.098,74.05,0.082,0.058,0.123,20475.949,12921.581,14317.108,2017,January,Sunday,4
5,2017-01-01 05:00:00,4.742,75.233,0.081,0.066,0.119,20807.089,13069.909,14395.181,2017,January,Sunday,5
6,2017-01-01 06:00:00,4.572,75.75,0.082,0.062,0.126,21648.608,13596.353,14513.735,2017,January,Sunday,6
7,2017-01-01 07:00:00,4.454,73.4,0.083,0.066,0.12,18540.759,11449.848,11552.771,2017,January,Sunday,7
8,2017-01-01 08:00:00,4.655,73.6,0.083,13.764,6.309,19605.063,11738.602,11190.361,2017,January,Sunday,8
9,2017-01-01 09:00:00,4.609,73.983,0.082,144.8,25.215,22905.316,13814.59,13026.506,2017,January,Sunday,9
10,2017-01-01 10:00:00,6.145,69.635,3.738,293.267,31.875,26685.57,16232.827,14801.928,2017,January,Sunday,10
11,2017-01-01 11:00:00,9.893,58.037,2.088,408.083,36.342,29288.101,17772.036,16000.964,2017,January,Sunday,11
12,2017-01-01 12:00:00,14.847,57.078,0.076,478.85,40.202,29889.62,18187.842,16853.012,2017,January,Sunday,12
13,2017-01-01 13:00:00,15.68,57.072,0.077,493.933,41.762,30231.899,18378.116,17298.313,2017,January,Sunday,13
14,2017-01-01 14:00:00,15.767,55.637,0.076,451.417,41.483,29898.734,18099.088,16873.253,2017,January,Sunday,14
15,2017-01-01 15:00:00,15.558,58.192,0.075,303.5,54.767,29218.228,17722.796,16594.699,2017,January,Sunday,15
16,2017-01-01 16:00:00,15.472,58.292,0.076,217.517,214.267,28730.127,17503.343,16388.434,2017,January,Sunday,16
17,2017-01-01 17:00:00,15.147,59.933,0.078,102.635,125.28,34423.291,21094.833,22275.663,2017,January,Sunday,17
18,2017-01-01 18:00:00,14.013,65.273,0.077,4.805,4.875,39619.241,24361.702,25729.157,2017,January,Sunday,18
19,2017-01-01 19:00:00,11.81,70.208,0.078,0.061,0.1,40318.987,24692.401,26186.024,2017,January,Sunday,19
20,2017-01-01 20:00:00,11.69,70.883,0.077,0.062,0.098,40371.646,25406.079,26493.494,2017,January,Sunday,20
